academy_id|academy_name|address|phone_no|course_type|courses|tuition
67|S.DAVID(에스데이빗)국제공인영어학원|인천광역시 부평구 부영로189번길 51 , 306호 전체 (산곡동,오남프라자)|032-505-5337|보습|고등부 일반,고등부 특목,중등부,초등부|282000
68|SDA엔쿨학원|인천광역시 서구 승학로471번길 7 , 검암3차신명스카이뷰상가 201호 (검암동,검암3차신명스카이뷰)|032-264-0909|보습|수학 고3(수2),수학 고등,수학 중등,수학 초등,영어 고등,영어 중등,영어 초등A,영어 초등B,영어 초등C|192000
69|SEM학원|인천광역시 부평구 장제로 224-1 , 3층 전체 (부개동)|032-502-8581|보습|고등수학,고등영어,중등수학,중등영어,초등수학,초등영어|170000
70|SH(에스에이치)학원|인천광역시 부평구 부흥로 420 , 303호, 402호 일부 (부개동)|032-361-2224|보습|고등국어단과,고등수학단과,고등영어단과,이과수학단과,중등수학단과,중등영어단과,초등국어단과,초등수학단과,초등영어단과,한국사단과|173000
71|SK보습학원|인천광역시 부평구 원적로 425-1 , 302호(전체) (산곡동,대우메디칼센타)|032-511-0535|보습|고등국어,고등단과,고등수학,고등영어,중등수학,중등영어|230000
72|SL멘토학원|인천광역시 부평구 부흥로 393 ,  3층일부 (부개동)|032-512-1096|보습·논술|고등단과(논술),중등단과(논술),중등연합,초등단과(논술),초등단과(영,수),초등연합|172000
73|SM에듀멘터(Edu-Mentor)학원|인천광역시 계양구 경명대로1045번길 3-1 , 103동 202호, 203호 (계산동,지산그라띠아아파트)|032-554-2045|보습|고등단과,중등단과,중등연합,초등단과,초등단과(화상영어),초등연합|209000
74|SM학원|인천광역시 계양구 안남로573번길 17 ,  (5층) (효성동)|032-545-0958|보습|고등단과(영,수)A,고등단과(영,수)B,중등단과(영,수),초등단과(영,수)|168000
75|SPT아카데미학원|인천광역시 남동구 만수서로 60 , 필러스프라자 401호,402호일부 (만수동)|032-463-4113|보습|고등단과수학,고등단과영어,중등단과수학,중등단과영어,초등단과 수학,초등단과 영어|205000
76|STS학원|인천광역시 부평구 주부토로 182 ,  (501호) (갈산동)|032-516-1113|보습|고등단과(과학),고등단과(국어),고등단과(수학),고등단과(수학2),고등단과(영어),중등단과(과학),중등단과(국어),중등단과(사회),중등단과(수학),중등단과(영어),초등단과(과학),초등단과(국어),초등단과(사회),초등단과(수학),초등단과(영어)|108000
77|TEAM(티이에이엠)학원|인천광역시 부평구 부개로 61-6 , 602호 전체, 502-1,2,4호 (부개동,신성프라자)|032-501-8166|보습|고등단과(1학년),고등단과(2학년),고등단과(3학년),고등이과수학,고등이과수학(2학년),중등단과(1학년),중등단과(2학년),중등단과(3학년)|209000
78|The Life Savers(더라이프세이버스)학원|인천광역시 부평구 아트센터로 118 , 동암신동아아파트 나동상가 302,303,305호 (십정동)|032-516-1088|보습|고등단과(수학),고등단과(영어),고등단과(이과수학),중등단과(수학),중등단과(영어),초등단과(수학),초등단과(영어),초중파닉스(2회),초중파닉스(3회)|182000
79|Thestudy공부방학원|인천광역시 부평구 원적로 292 , (301호) (산곡동)|032-529-6868|보습|고등부단과,중등단과,초등전과목|237000
80|TOP서울학원|인천광역시 부평구 마장로 432 , (3,4층전체) (청천동) |032-506-1605|보습||
81|y2k(와이투케이)학원|인천광역시 부평구 마장로324번길 23 , 302호 (산곡동)|032-525-7007|보습|고등단과,중등단과(수학),중등단과(영어),초등단과(수학),초등단과(영어)|236000
82|YBM시사잉글루영어영재검단학원|인천광역시 서구 완정로 50 , 3층 (마전동,고성빌딩)|032-564-2965|보습|중등단과,초등단과|230000
83|YBM잉글루(engloo)학원|인천광역시 계양구 경명대로 1124 , 명인1프라자 (4층일부) (계산동)|032-554-0511|보습|고등단과(수학),고등단과(수학특강),고등단과(영어),고등단과(영어특강),중등단과(수학),중등단과(수학특강),중등단과(영어),중등단과(영어특강),초등단과(수학),초등단과(수학특강),초등단과(영어),초등단과(영어특강)|144000
84|YBM잉글루부평산곡영어영재학원|인천광역시 부평구 안남로 261 ,  전방프라자 304호(전체) (산곡동)|032-505-0579|보습|중등단과(영어1),중등단과(영어2),초등단과(영어고급),초등단과(영어중급),초등단과(영어초급)|218000
85|YBM학원|인천광역시 계양구 주부토로 369 , 103동 201호 (작전동,유호아파트 상가동)|032-268-0505|보습|고등단과(영어),중등단과(영어),초등단과(영어)|160000
86|YT영어전문학원|인천광역시 남동구 호구포로 924 , 햇빛마을벽산아파트 분산상가동 302호 (만수동)||보습|고등단과A,고등단과B,중등단과A,중등단과B,중등단과C,중등영어D,초등단과A,초등단과B,초등단과C,초등단과D,초등연합A,초등연합B,초등연합C,초등연합d,초등연합E,초등연합F,초등연합G,초등연합H|223000
87|가람학원|인천광역시 부평구 원적로416번길 20 , 205호~208호 전체 (산곡동, 한신산곡상가)|032-508-3637|보습|고등단과(1,2년),고등단과(3년),고등단과(특강),중등단과,초등단과|258000
88|가우스송도국제캠퍼스학원|인천광역시 연수구 컨벤시아대로 81 , 524호~526호 (송도동, 드림시티)|032-8587-701|보습|고등과학,고등수학A,고등수학B,고등수학C,과외수학(고),중등경시,중등과학A,중등과학B,중등수학,초등경시A,초등경시B,초등수학|408000
89|가우스학원|인천광역시 서구 신진말로 26 , 402호,403호 (가좌동)|032-575-6060|보습|고등 국어,고등 수학,고등 영어,교통비 지원(원거리),보충수업,신입생 할인,중등 과학,중등 국어,중등 사회,중등 수학,중등 영어,초등 과학,초등 국어,초등 사회,초등 수학,초등 영어,친구동반할인,형제할인(2명),형제할인(3명)|71000
90|가우스학원|인천광역시 연수구 컨벤시아대로 81 , 521호 (송도동)||보습|고등수학A,고등수학B,고등수학C,중등경시,중등수학,초등경시수학,초등수학|384000
91|가원삼성영어학원|인천광역시 서구 청중로 480 , 202호 (가정동,도토리프라자)|032-567-8065|보습|중등수학1,중등수학2,중등영어1,중등영어2,중등영어3,중등영어4,초등수학1,초등수학2,초등수학3,초등영어1,초등영어2,초등영어3,초등영어4|172000
92|가좌1대성학원|인천광역시 서구 가정로 100 , 2층,3층 (가좌동)|032-572-6647|보습|고등1단과,고등2단과,고등국어단과,중등단과,중등연합,초등단과,초등연합|183000
93|가좌로제타스톤영어학원|인천광역시 서구 원적로96번길 17 , 3층 (가좌동)|032-207-9905|보습|고등단과,고등단과(수학),고등단과(영어),중등단과,중등단과(수학),중등단과(영어),초등단과,초등단과(수학)|189000
94|가좌해법수학학원|인천광역시 서구 원적로100번길 18 , 4층 (가좌동,삼성빌딩)|032-575-1544|보습|중등수학,중등수학영어,중등영어,초등수학,초등수학영어,초등영어|180000
95|간석교일학원|인천광역시 남동구 백범로 350 , 2층전체 (간석동)|032-423-6061|보습|고등단과,고등연합,중등단과,중등연합,초등단과,초등연합|247000
96|간석남촌학원|인천광역시 남동구 남촌동로25번길 53 , 2층일부 (남촌동)|032-425-0909|보습|고등단과(과학),고등단과(사고력수학,영어),고등단과(사회,일본어),고등단과(수학,국어),고등단과(한자),중등단과(과학),중등단과(사고력수학,영어),중등단과(사회,일본어),중등단과(수학,국어),중등단과(한자),초등단과(과학),초등단과(사고력수학,영어),초등단과(사회,일본어),초등단과(수학,국어),초등단과(한자)|31000
97|간석대일학원|인천광역시 남구 경원대로864번길 78 , (3층) (주안동)|032-435-0582|보습|고등수학,고등영어,중등수학,중등영어,초등수학,초등영어|250000
98|간석비상학원|인천광역시 남동구 구월로 41 , 4층 (간석동, 보영빌딩)|032-429-0033|보습|고3수학,고3영어,고등수학,고등영어,중3영어,중등수학,중등영어,초등수학,초등영어|197000
99|간석종로엠고등전문학원|인천광역시 남동구 경원대로 948 , 3층 (간석동)|032-422-6005|보습|단과,연합|128000
100|간석종로엠학원|인천광역시 남동구 석정로 515 , 403호, 404호, 405호 (간석동)|032-872-2005|보습|고등연합,중등연합,초등연합|267000
101|갈산명문학원|인천광역시 부평구 주부토로 201 ,  대동아파트단지내상가 302호,303호(전체) (갈산동)|032-527-2231|보습|중등연합,초등연합|225000
102|갈산삼성영어학원|인천광역시 부평구 주부토로 179 , 402호 전체 (갈산동)|032-521-2588|보습|고등 1,고등 2,고등 3,중등,초등 A,초등 B,초등 C,초등 D,초등심화 A,초등심화 B,초등심화 C|203000
103|갈산필학원|인천광역시 부평구 부평대로282번길 31 , 2층 (갈산동)|032-519-2100|보습||
104|갈산한솔수학학원|인천광역시 부평구 주부토로 179 , 302호 전체 (갈산동)|032-521-2590|보습|고등 1,고등 2,고등 3,중등,초등1~2,초등3~4,초등5~6|209000
105|감탄교육동춘학원|인천광역시 연수구 앵고개로 260 , 401~402호 (동춘동)||보습||
106|강남사관학원|인천광역시 중구 흰바위로 41 , 4층 405호 (운서동,영종 에어포트1)|032-746-7462|보습|단과 고등(논술),단과 고등(수학),단과 고등(영어),단과 중등(논술),단과 중등(수학),단과 중등(영어),단과 초등(과학),단과 초등(국어),단과 초등(논술),단과 초등(사회),단과 초등(수학1),단과 초등(수학2),단과 초등(영어1),단과 초등(영어2)|129000
107|강남학원|인천광역시 남동구 장승남로 48 , 외 1필지 제우빌딩 503호 (만수동)|032-462-7703|보습|고등단과A,고등단과B,중등단과A,중등단과B,초등단과A,초등단과B|222603000
108|강의하는아이들서윤성수학학원|인천광역시 서구 청라라임로 71 , 902호 (연희동, 진영메디피아)||보습|고등수학(고A),고등수학(고B),고등수학(고C),고등수학(고D),고등수학(고E),고등수학(고F),고등수학(고G),중등수학(중A),중등수학(중B),중등수학(중C),중등수학(중D),중등수학(중F),중등수학(중G),초등수학(초A),초등수학(초B),초등수학(초C),초등수학(초D),초등수학(초E),초등수학(초F),초등수학(초G)|466000
109|강의하는아이들학원|인천광역시 남동구 구월남로 182 , 702호(명일프라자) (구월동)|032-473-3000|보습|고등수학1,고등수학10,고등수학11,고등수학2,고등수학3,고등수학4,고등수학5,고등수학6,고등수학7,고등수학8,고등수학9,중등수학1,중등수학2,중등수학3,중등수학4,중등수학5,중등수학6,중등수학7,초등수학1,초등수학2,초등수학3,초등수학4,초등수학5|404000
110|강찬영수학원|인천광역시 부평구 세월천로 35 , 402호 일부, 404호 전체 (청천동)|032-516-0732|보습|고등단과,중등연합,초등단과|313000
111|강철수학프리미엄영어학원|인천광역시 연수구 인천타워대로54번길 13 , 503호 (송도동, 해승메디피아)|032-831-8370|보습|고등수학,고등영어,중등수학,중등영어,초등수학A,초등수학B,초등영어A,초등영어B|245000
112|강친독학학원|인천광역시 부평구 부평대로 163 , 201호 (부평동,부평쌍용플래티넘)|032-507-7700|보습|고등단과 1,고등단과 2,고등단과 3,고등연합|188000
113|강친학원|인천광역시 남동구 구월남로 216 , 302호 (구월동, 가나프라자)||보습|고등과학,고등수학,고등영어,중등과학,중등수학,중등영어,초등수학|204000
114|강한수학학원|인천광역시 계양구 계양문화로 145 , 204호,205호,206호 (용종동,용종마을중앙아파트상가동)||보습|수학고등1,수학고등2,수학고등3,수학고등4,수학고등5,수학고등6,수학중등1,수학중등10,수학중등11,수학중등2,수학중등3,수학중등4,수학중등5,수학중등6,수학중등7,수학중등8,수학중등9|302000
115|강한학원|인천광역시 연수구 청능대로113번길 11 , 303,304호 (연수동)|032-715-7753|보습|고등단과,중등단과|200000
116|강화연세학원|인천광역시 강화군 강화읍 강화대로248번길 23 , 3층 (강화읍)||보습|고등국어A,고등국어B,고등수학A,고등수학B,고등영어A,고등영어B,고등중국어,중등국어,중등수학,중등영어,초등국어,초등수학,초등영어|141000
117|강화영어숲윤선생영어학원|인천광역시 강화군 강화읍 갑룡길 69 , 2층 (강화읍)|032-934-9141|보습|중등단과(수학),중등단과(영어),초등단과(수학),초등단과(영어)|172000
118|강화필학원|인천광역시 강화군 강화읍 강화대로 238 , 3층 (강화읍)|032-934-3365|보습|고등수학,중,고등국어,중,고등영어,중등수학,초,중등과학,초등수학|272000
119|개념원리국제수학학원|인천광역시 남구 매소홀로 476 , 2층 (학익동)|032-715-7749|보습|고등문과수학,고등이과수학,중등수학,초등수학|260000
120|개별진도1:4수학학원|인천광역시 계양구 오조산로 91 , 201호 (용종동,새롬2차프라자)||보습|고등수학,중등수학,초등수학|270000
121|거영학원|인천광역시 부평구 마분로 12 ,  2층 전체 (부개동)|032-508-8540|보습|중등연합,초등연합|360000
122|거인의어깨학원|인천광역시 남동구 논고개로123번길 35 , A707호 (논현동, 논현동칼리오페)|032-438-0988|보습|고등단과A,고등단과B,중등단과,초등단과|288000
123|검단스카이독학재수학원|인천광역시 서구 청마로167번길 14 , 501호 (당하동,성경빌딩)|032-566-3619|보습|과학(고),국어(고),수학(고),영어(고)|150000
124|검단와이즈만영재학원|인천광역시 서구 원당대로 665 , 4층일부 (마전동,한진빌딩)|032-565-0150|보습|중등다과(과학),중등단과(수학),초등단과(과학),초등단과(수학)|156000
125|검단탑플러스학원|인천광역시 서구 검단로623번길 4 303호,304호(마전동,세창프라자)|032-562-4888|보습|고등수학단과,고등영어단과,중등수학단과,중등영어단과,초등수학단과,초등영어단과|188000
126|검단탑학원|인천광역시 서구 검단로487번길 8 , 2층일부 (마전동,한성정육도매센타)|032-568-2555|보습|고등단과,고등수학(이과),중등단과,초등단과,초등종합|246000
127|검암교연학원|인천광역시 서구 승학로 574 ,  2층일부 (검암동)|032-561-3500|보습|고등단과,중등단과,중등연합,초등단과|318000
128|검암명품사관학원|인천광역시 서구 승학로 558 , 4층 (검암동,길성빌딩)|032-565-0912|보습|중고등단과-영어,수학,초등단과-영어,수학|210000
129|검암보습학원|인천광역시 서구 승학로 482 , 401호,402호,403호 (검암동,네오프라자)|032-565-8666|보습|고등단과,중등단과,중등연합,초등단과,초등연합|222000
130|검암튼튼영어마스터클럽학원|인천광역시 서구 승학로 577 , 장은프라자 406호,407호 (검암동,장은프라자)|032-562-7979|보습|중등수학,중등영어,초등수학5,초등수학6,초등영어1,초등영어2,초등영어3,초등영어4|208000
131|겨자씨의꿈학원|인천광역시 서구 중봉대로 610 , 705호 (연희동,마루힐프라자)||보습|고등국어,중등국어,초등국어|223000
132|겨자씨의꿈학원|인천광역시 연수구 신송로 121 , 611호 (송도동, 센타프라자)|032-833-5123|보습|국어고등,국어중등,국어초등,한국사중등,한국사초등|172000
133|경서대신학원|인천광역시 서구 경서로69번길 12 , 3층 (경서동,상현빌딩)|032-581-5044|보습|고등연합,중등연합,초등연합|387000
134|경서비상아이비츠학원|인천광역시 서구 도요지로 17 , 2층 (경서동)|032-567-8828|보습|고등국어,고등영어,문과수학,이과수학,중등수학,중등영어,중등종합,초등수학,초등영어,초등종합|211000
135|계명의숙갑룡학원|인천광역시 강화군 강화읍 강화대로248번길 28-2 , 1층 (강화읍)|032-933-9565|보습|고등수학1,2,고등수학3,중등수학1,중등수학B,중등수학C,초등수학1~5,초등수학6|250000
